concept,gloss
proceeding,PROCEEDING1^
profession,PROFESSION1A^
protection,PROTECTION1A^
protest,PROTEST1^
proud,PROUD1^
psychology,PSYCHOLOGY2^
pub restaurant,PUB-RESTAURANT1^
pulse,PULSE2^
pure,PURE1^
question,QUESTION1^
question mark,QUESTION-MARK1^
quotation marks,QUOTATION-MARKS1^
radiation,RADIATION1^
radio,RADIO2^
rain,RAIN1A^
ready,READY1^
reason,REASON4A^
reduction,REDUCTION1^
regularly,REGULARLY2A^
related,RELATED1A^
relieved,RELIEVED1^
rendsburg,RENDSBURG2^
repetition,REPETITION1B^
research,RESEARCH1A^
respect,RESPECT1A^
responsibility,RESPONSIBILITY1^
restaurant,RESTAURANT1^
rib,RIB1B^
right or agreed,RIGHT-OR-AGREED1^
ring,RING1A^
risk,RISK1^
river,RIVER1^
rocket,ROCKET1B^
rockets fireworks,ROCKETS-FIREWORKS1^
root,ROOT1A^
rostock,ROSTOCK1^
rough,ROUGH1^
round,ROUND13B^
round ball,ROUND-BALL1^
round long,ROUND-LONG1A^
row,ROW1^
rubbing ones hands together,RUBBING-ONES-HANDS-TOGETHER1^
rule,RULE1A^
russia,RUSSIA1^
saliva dribbles,SALIVA-DRIBBLES2^
sand,SAND2A^
sash,SASH1A^
sated,SATED1^
satisfied,SATISFIED2A^
saturday,SATURDAY2^
school,SCHOOL3^
scythe,SCYTHE1^
season,SEASON1^
secret,SECRET1A^
segment,SEGMENT2A^
self,SELF2^
sensitive,SENSITIVE1B^
september,SEPTEMBER2A^
service or duty,SERVICE-OR-DUTY2^
set of teeth,SET-OF-TEETH1^
sex,SEX1A^
sexual intercourse,SEXUAL-INTERCOURSE2B^
shadow,SHADOW1^
shame,SHAME1^
shape,SHAPE1A^
sheep,SHEEP1^
shelf,SHELF2A^
ship,SHIP1^
shock,SHOCK1^
shoulder,SHOULDER1B^
shut or closed,SHUT-OR-CLOSED1^
shy,SHY1A^
sibilant sch,SIBILANT-SCH1^
siblings,SIBLINGS1^
sick,SICK1^
side of the body,SIDE-OF-THE-BODY1^
sign language,SIGN-LANGUAGE1^
sign or drawing,SIGN-OR-DRAWING1^
silent,SILENT1B^
skeleton,SKELETON1^
ski,SKI1^
skilful,SKILFUL1A^
skin,SKIN2^
sky or heaven,SKY-OR-HEAVEN2A^
slim,SLIM2A^
small,SMALL3^
smooth or slick,SMOOTH-OR-SLICK1^
snake,SNAKE3^
